chapter_file,chapter_number,chapter_id,global_sentence_id,cross_chapter,source_file_path,sentence_id,sentence_id_numeric,sentence_id_prefixed,sentence_num,first_words,pronoun_text,pronoun_token_idx,pronoun_grammatical_role,pronoun_thematic_role,pronoun_givenness,pronoun_coref_ids,pronoun_coref_base_num,pronoun_coref_occurrence_num,pronoun_coreference_link,pronoun_coref_link_base_num,pronoun_coref_link_occurrence_num,pronoun_coreference_type,pronoun_inanimate_coreference_link,pronoun_inanimate_coref_link_base_num,pronoun_inanimate_coref_link_occurrence_num,pronoun_inanimate_coreference_type,pronoun_most_recent_antecedent_text,pronoun_most_recent_antecedent_distance,pronoun_first_antecedent_text,pronoun_first_antecedent_distance,pronoun_antecedent_choice,num_clause_mates,clause_mate_text,clause_mate_coref_id,clause_mate_coref_base_num,clause_mate_coref_occurrence_num,clause_mate_start_idx,clause_mate_end_idx,clause_mate_grammatical_role,clause_mate_thematic_role,clause_mate_coreference_type,clause_mate_animacy,clause_mate_givenness,clause_mate_grammatical_role_clean,clause_mate_thematic_role_clean,clause_mate_coreference_type_clean,pronoun_coreference_type_clean,pronoun_grammatical_role_clean,pronoun_thematic_role_clean
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,Die,1,Subj,Proto-Ag,bekannt,['78-2'],78.0,,*->78-2,78.0,2.0,D-Pron[78],,,,,die Liftsteher,4,die Liftsteher,4,1,4,den ganzen Tag,134-1,134,1,3,5,Oblique[5],*[5],defNP[134],inanim,neu,Oblique,*,defNP,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,Die,1,Subj,Proto-Ag,bekannt,['78-2'],78.0,,*->78-2,78.0,2.0,D-Pron[78],,,,,die Liftsteher,4,die Liftsteher,4,1,4,ihnen,78-3,78,3,10,10,indirObj,Proto-Pat,PersPron[78],anim,bekannt,indirObj,Proto-Pat,PersPron,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,Die,1,Subj,Proto-Ag,bekannt,['78-2'],78.0,,*->78-2,78.0,2.0,D-Pron[78],,,,,die Liftsteher,4,die Liftsteher,4,1,4,keiner,56-1,56,1,11,11,Subj,Proto-Ag,Quant[56],anim,neu,Subj,Proto-Ag,Quant,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,Die,1,Subj,Proto-Ag,bekannt,['78-2'],78.0,,*->78-2,78.0,2.0,D-Pron[78],,,,,die Liftsteher,4,die Liftsteher,4,1,4,dem Lift,118-1,118,1,13,14,Oblique[6],*[6],defNP[118],inanim,neu,Oblique,*,defNP,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,ihnen,10,indirObj,Proto-Pat,bekannt,['78-3'],78.0,,*->78-3,78.0,3.0,PersPron[78],,,,,Die,9,die Liftsteher,13,2,4,Die,78-2,78,2,1,1,Subj,Proto-Ag,D-Pron[78],anim,bekannt,Subj,Proto-Ag,D-Pron,PersPron,indirObj,Proto-Pat
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,ihnen,10,indirObj,Proto-Pat,bekannt,['78-3'],78.0,,*->78-3,78.0,3.0,PersPron[78],,,,,Die,9,die Liftsteher,13,2,4,den ganzen Tag,134-1,134,1,3,5,Oblique[5],*[5],defNP[134],inanim,neu,Oblique,*,defNP,PersPron,indirObj,Proto-Pat
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,ihnen,10,indirObj,Proto-Pat,bekannt,['78-3'],78.0,,*->78-3,78.0,3.0,PersPron[78],,,,,Die,9,die Liftsteher,13,2,4,keiner,56-1,56,1,11,11,Subj,Proto-Ag,Quant[56],anim,neu,Subj,Proto-Ag,Quant,PersPron,indirObj,Proto-Pat
1.tsv,1,Chapter_1,global_12,False,data\input\gotofiles\later\1.tsv,12,12,sent_12,12,Die_müssen_den,ihnen,10,indirObj,Proto-Pat,bekannt,['78-3'],78.0,,*->78-3,78.0,3.0,PersPron[78],,,,,Die,9,die Liftsteher,13,2,4,dem Lift,118-1,118,1,13,14,Oblique[6],*[6],defNP[118],inanim,neu,Oblique,*,defNP,PersPron,indirObj,Proto-Pat
1.tsv,1,Chapter_1,global_13,False,data\input\gotofiles\later\1.tsv,13,13,sent_13,13,Tagtäglich_rutschen_an,ihnen,4,Oblique,Proto-Pat,bekannt,['78-4'],78.0,,*->78-4,78.0,4.0,PersPron[78],,,,,ihnen,10,die Liftsteher,23,3,1,Tausende Schifahrer,74-1,74,1,5,6,Subj[7],Proto-Ag[7],indefNP[74],anim,neu,Subj,Proto-Ag,indefNP,PersPron,Oblique,Proto-Pat
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,man,13-1,13,1,2,2,Subj,Proto-Ag,IndefPron[13],anim,neu,Subj,Proto-Ag,IndefPron,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,die,41-1,41,1,16,16,Subj,Proto-Ag,RelPron[41],anim,neu,Subj,Proto-Ag,RelPron,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,den Affenzirkus,53-1,53,1,19,20,dirObj[11],Proto-Pat[11],defNP[53],anim,neu,dirObj,Proto-Pat,defNP,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,den,53-2,53,2,24,24,dirObj,Proto-Pat,RelPron[53],anim,bekannt,dirObj,Proto-Pat,RelPron,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,sie,78-8,78,8,25,25,Subj,Proto-Ag,PersPron[78],anim,bekannt,Subj,Proto-Ag,PersPron,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,bei jedem Wetter,153-1,153,1,26,28,Oblique[12],*[12],Quant[153],inanim,neu,Oblique,*,Quant,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,das,6,Subj,Proto-Ag,bekannt,['78-7'],78.0,,*->78-7,78.0,7.0,D-Pron[78],,,,,ihren,10,die Liftsteher,127,6,7,die Gegend,169-1,169,1,30,31,Oblique[13],*[13],defNP[169],inanim,neu,Oblique,*,defNP,D-Pron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,man,13-1,13,1,2,2,Subj,Proto-Ag,IndefPron[13],anim,neu,Subj,Proto-Ag,IndefPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,das,78-7,78,7,6,6,Subj,Proto-Ag,D-Pron[78],anim,bekannt,Subj,Proto-Ag,D-Pron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,die,41-1,41,1,16,16,Subj,Proto-Ag,RelPron[41],anim,neu,Subj,Proto-Ag,RelPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,den Affenzirkus,53-1,53,1,19,20,dirObj[11],Proto-Pat[11],defNP[53],anim,neu,dirObj,Proto-Pat,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,den,53-2,53,2,24,24,dirObj,Proto-Pat,RelPron[53],anim,bekannt,dirObj,Proto-Pat,RelPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,bei jedem Wetter,153-1,153,1,26,28,Oblique[12],*[12],Quant[153],inanim,neu,Oblique,*,Quant,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_21,False,data\input\gotofiles\later\1.tsv,21,21,sent_21,21,Daß_man_glauben,sie,25,Subj,Proto-Ag,bekannt,['78-8'],78.0,,*->78-8,78.0,8.0,PersPron[78],,,,,das,19,die Liftsteher,146,7,7,die Gegend,169-1,169,1,30,31,Oblique[13],*[13],defNP[169],inanim,neu,Oblique,*,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_22,False,data\input\gotofiles\later\1.tsv,22,22,sent_22,22,Der_Lift_Lois,er,13,Subj,Proto-Ag,bekannt,['21-3'],21.0,,*->21-3,21.0,3.0,PersPron[21],,,,,dem,6,Der Lift Lois,12,2,5,Der Lift Lois,21-1,21,1,1,3,Subj[14],Proto-Ag[14],EN[21],anim,neu,Subj,Proto-Ag,EN,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_22,False,data\input\gotofiles\later\1.tsv,22,22,sent_22,22,Der_Lift_Lois,er,13,Subj,Proto-Ag,bekannt,['21-3'],21.0,,*->21-3,21.0,3.0,PersPron[21],,,,,dem,6,Der Lift Lois,12,2,5,dem,21-2,21,2,7,7,Oblique,Proto-Pat,RelPron[21],anim,bekannt,Oblique,Proto-Pat,RelPron,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_22,False,data\input\gotofiles\later\1.tsv,22,22,sent_22,22,Der_Lift_Lois,er,13,Subj,Proto-Ag,bekannt,['21-3'],21.0,,*->21-3,21.0,3.0,PersPron[21],,,,,dem,6,Der Lift Lois,12,2,5,die Leute,43-1,43,1,8,9,Subj[15],Proto-Ag[15],defNP[43],anim,neu,Subj,Proto-Ag,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_22,False,data\input\gotofiles\later\1.tsv,22,22,sent_22,22,Der_Lift_Lois,er,13,Subj,Proto-Ag,bekannt,['21-3'],21.0,,*->21-3,21.0,3.0,PersPron[21],,,,,dem,6,Der Lift Lois,12,2,5,einheimische Kinder,1-1,1,1,16,17,dirObj[16],Proto-Pat[16],indefNP[1],anim,neu,dirObj,Proto-Pat,indefNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_22,False,data\input\gotofiles\later\1.tsv,22,22,sent_22,22,Der_Lift_Lois,er,13,Subj,Proto-Ag,bekannt,['21-3'],21.0,,*->21-3,21.0,3.0,PersPron[21],,,,,dem,6,Der Lift Lois,12,2,5,hat,21-4,21,4,22,22,_,_,zero[21],anim,bekannt,_,_,zero,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_24,False,data\input\gotofiles\later\1.tsv,24,24,sent_24,24,Wie_immer_ist,er,4,Subj,Proto-Ag,bekannt,['21-5'],21.0,,*->21-5,21.0,5.0,PersPron[21],,,,,hat,35,Der Lift Lois,56,4,3,dem Wörgötter,66-1,66,1,7,8,Oblique[17],Proto-Pat[17],EN[66],anim,neu,Oblique,Proto-Pat,EN,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_24,False,data\input\gotofiles\later\1.tsv,24,24,sent_24,24,Wie_immer_ist,er,4,Subj,Proto-Ag,bekannt,['21-5'],21.0,,*->21-5,21.0,5.0,PersPron[21],,,,,hat,35,Der Lift Lois,56,4,3,Rad - Trac,144-1,144,1,10,12,Oblique[18],*[18],defNP[144],inanim,neu,Oblique,*,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_24,False,data\input\gotofiles\later\1.tsv,24,24,sent_24,24,Wie_immer_ist,er,4,Subj,Proto-Ag,bekannt,['21-5'],21.0,,*->21-5,21.0,5.0,PersPron[21],,,,,hat,35,Der Lift Lois,56,4,3,Talstation des Panoramalifts,102-1,102,1,14,16,Oblique[19],*[19],defNP[102],inanim,neu,Oblique,*,defNP,PersPron,Subj,Proto-Ag
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,der Wörgötter,66-2,66,2,4,5,Subj[20],Proto-Ag[20],EN[66],anim,bekannt,Subj,Proto-Ag,EN,PersPron,dirObj,Proto-Pat
1.tsv,1,Chapter_1,global_25,False,data\input\gotofiles\later\1.tsv,25,25,sent_25,25,Dort_hat_ihn,ihn,3,dirObj,Proto-Pat,bekannt,['21-6'],21.0,,*->21-6,21.0,6.0,PersPron[21],,,,,er,17,Der Lift Lois,73,5,9,die Dämmerung,94-1,94,1,7,8,Oblique[21],Recipient[21],defNP[94],inanim,neu,Oblique,Recipient,defNP,PersPron,dirObj,Proto-Pat
